date,mode,count
2022-01-01,AAR,4904
2022-01-02,AAR,8383
2022-01-03,AAR,16437
2022-01-04,AAR,17909
2022-01-05,AAR,18861
2022-01-06,AAR,18672
2022-01-07,AAR,14203
2022-01-08,AAR,9126
2022-01-09,AAR,7916
2022-01-10,AAR,18268
2022-01-11,AAR,17388
2022-01-12,AAR,19679
2022-01-13,AAR,19918
2022-01-14,AAR,18878
2022-01-15,AAR,9510
2022-01-16,AAR,8545
2022-01-17,AAR,8760
2022-01-18,AAR,19389
2022-01-19,AAR,21111
2022-01-20,AAR,18616
2022-01-21,AAR,19079
2022-01-22,AAR,10455
2022-01-23,AAR,9446
2022-01-24,AAR,19472
2022-01-25,AAR,21233
2022-01-26,AAR,21033
2022-01-27,AAR,20934
2022-01-28,AAR,20115
2022-01-29,AAR,5353
2022-01-30,AAR,5974
2022-01-31,AAR,18400
2022-02-01,AAR,20357
2022-02-02,AAR,22427
2022-02-03,AAR,22325
2022-02-04,AAR,18557
2022-02-05,AAR,11377
2022-02-06,AAR,10621
2022-02-07,AAR,21120
2022-02-08,AAR,22667
2022-02-09,AAR,23863
2022-02-10,AAR,23341
2022-02-11,AAR,22608
2022-02-12,AAR,13376
2022-02-13,AAR,10013
2022-02-14,AAR,20812
2022-02-15,AAR,21922
2022-02-16,AAR,23513
2022-02-17,AAR,23713
2022-02-18,AAR,21470
2022-02-19,AAR,12171
2022-02-20,AAR,11017
2022-02-21,AAR,12500
2022-02-22,AAR,19233
2022-02-23,AAR,23807
2022-02-24,AAR,21868
2022-02-25,AAR,18740
2022-02-26,AAR,12226
2022-02-27,AAR,11337
2022-02-28,AAR,21929
2022-03-01,AAR,22944
2022-03-02,AAR,24289
2022-03-03,AAR,23800
2022-03-04,AAR,22821
2022-03-05,AAR,13269
2022-03-06,AAR,12557
2022-03-07,AAR,22465
2022-03-08,AAR,24076
2022-03-09,AAR,23477
2022-03-10,AAR,24515
2022-03-11,AAR,23736
2022-03-12,AAR,10655
2022-03-13,AAR,11491
2022-03-14,AAR,22480
2022-03-15,AAR,24272
2022-03-16,AAR,25305
2022-03-17,AAR,22946
2022-03-18,AAR,24019
2022-03-19,AAR,12877
